window,scale_km,zcast,nflics,netncc
3,9,0.06994170151178329,0.025463693897534882,0.06949201232135789
9,27,0.0778855952440917,0.029454774542978096,0.08095662637133896
25,75,0.09762462959967137,0.04009524118651769,0.11362196375492993
49,147,0.1201287742607705,0.05373757391246163,0.16469904871771682
81,243,0.13781830140438905,0.06870892390444994,0.21962960548183044
121,363,0.15039187132109869,0.08780982505439518,0.25904960868662374
