window,scale_km,zcast,nflics,netncc
3,9,0.2759055961366472,0.06229928990709722,0.2046546137887094
9,27,0.3199929662798521,0.06902056262250217,0.23961360236671375
25,75,0.41145017215320356,0.08521344066575233,0.3607965083338608
49,147,0.4710304325995356,0.1031153746969933,0.5585780203703296
81,243,0.4805581057576303,0.11967217173083765,0.7047608007981738
121,363,0.4691145299742078,0.13676300009385484,0.7803172849186456
