window,scale_km,zcast,nflics,netncc
3,9,0.11773205231433187,0.10791894035030344,0.12194096731085274
9,27,0.1383643561636471,0.11932642208765969,0.1396628305665908
25,75,0.19399250077275768,0.14623007509945338,0.183464791825469
49,147,0.26418915586849173,0.17577610765579324,0.2406136837314724
81,243,0.32453471671587214,0.2014215393152134,0.28832910269757644
121,363,0.3660651813455992,0.2218842157245692,0.32241025627250314
