window,scale_km,zcast,nflics,netncc
3,9,0.1720816272050117,0.01649481849530492,0.17351359769950822
9,27,0.20044548253708774,0.01914209331480608,0.20833506137057228
25,75,0.26472473739541286,0.02846045145341685,0.34052065014414523
49,147,0.30255114057388505,0.043038413673274184,0.5266966616669994
81,243,0.3096335119615239,0.06218361501287188,0.6540686432686094
121,363,0.3056519205754663,0.0914824168928817,0.7185981616076427
