window,scale_km,zcast,nflics,netncc
3,9,0.1276113485727771,0.05538876669550473,0.15187196766928585
9,27,0.14581414588891517,0.062055271410551824,0.1787814171651341
25,75,0.1923494990757067,0.0794513692318538,0.26773232745955805
49,147,0.24654371830439992,0.09871178395778368,0.4080920835659405
81,243,0.28086846151108574,0.11499777100007727,0.5304843579685032
121,363,0.2924468283095048,0.13237974175529163,0.6099257063428385
